featureId,featurename,project,category,sub_category,data_type,description,status,source,owner
1,isValidForModel,WPO,,,,,,,
2,EngagementValue7dWStatCount,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
3,EngagementValue7dWStatSum,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
4,EngagementValue7dWStatStdev,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
5,EngagementValue7dWStatAvg,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
6,EngagementValue7dWStatMin,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
7,EngagementValue7dWStatMax,WPO,wpo_feature_agg_only,_agg_only_,double,,active,WPOFeatureLoadAPI.view,
8,CorePageView7dWStatCount,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
9,CorePageView7dWStatSum,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
10,CorePageView7dWStatStdev,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
11,CorePageView7dWStatAvg,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
12,CorePageView7dWStatMin,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
13,CorePageView7dWStatMax,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
14,PageView7dWStatCount,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
15,PageView7dWStatSum,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
16,PageView7dWStatStdev,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
17,PageView7dWStatAvg,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
18,PageView7dWStatMin,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
19,PageView7dWStatMax,WPO,wpo_other,_core_metrics_,double,,active,WPOFeatureLoadAPI.view,
